dissimulate| verb| concel or disguise (one's thoughts, feelings, or character).| pretend
epithet| noun| an adjective or descriptive phrase expressing a quality characteristic of the person or thing.| label
cosmopolitan| adjective| including or containing people from many different countries.| multiracial
ingratiate| verb| bring onself in favor with someone by flattering or trying to please them.| cultivate
culpable| adjective| deserving blame| guilty
affinity| noun| a spontaneous or natural liking or sympathy for someone or something.| harmony
adamant| adjective| refusing to be persuaded or to change one's mind.| inflexible
bauble| noun| a small, showy trinket or decoration; something that is superficially attractive but useless or worthless.| gimmick
happenstance| noun| coincidence.| coincidence
espouse| verb| adopt or support (a cause, belief, or way of life).| adopt
beguile| verb| charm or enchant (someone), sometimes in a deceptive way.| charm
forestall| verb| prevent or obstruct (an anticipated event or action) by taking action ahead of time.| preempt
innocuous| adjective| not harmful or offensive.| harmless
distill| verb| purify (a liquid) by vaporizing it, then condensing it by cooling the vapor, and collecting the resulting liquid.| refine
amoral| adjective| lacking a moral sense; unconcered with the rightness or wrongness of something.| unethical
galling| adjective| annoying; humiliating.| irritating
contend| verb| struggle to surmount (a difficulty or danger).| take on
depravity| noun| moral corruption; wickedness| corruption
bulwark| noun| a defensive wall.| fortification
amelioration| noun| the act of making something better; improvement.| improvement
derelict| adjective| in a very poor condition as a result of disuse and neglect.| run down
affectation| noun| behavior, speech, or writing that is artificial and designed to impress.| affectedness
elicit| verb| evoke of draw out (a response, answer, or fact) from someone in reacion to one's own actions or questions.| draw out
allay| verb| diminish or put at rest (fear, suspicion, or worry).| reduce
dogmatic| adjective| inclined to lay down principles as incontrovertibly true.| assertive
dissipate| verb| (with reference to a feeling or other intangible thing) disappear or cause to disappear.| vanish
amenable| adjective| (of a person) open and responsive to suggestion; easily persuaded or controlled.| biddable
beset| verb| (of a problem of difficulty) trouble or threaten persistently| torment
expediency| noun| the quality of being convenient and practical despite possibly being improper or immoral; convenience.| convenience
imperturbable| adjective| unable to be upset or excited; calm.| composed
concomitant| adjective| (qualities) naturally accompanying or associated.| associated
furtive| adjective| attempting to avoid notive or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive.| secretive
gloat| verb| contemplate or dwell on one's success of another's misfortune with smugness or malignant pleasure.| relish) (bragging
ignominious| adjective| deserving or causing public disgrace or shame.| humiliating
complacent| adjective| showing smug or uncritical satisfaction with oneself or one's achievements. (negative) (lazily)| self-approving
busybody| noun| a meddling or prying person.| troublemaker
assuage| verb| make (an unpleasant feeling) less intense.| alleviate
gratuitous| adjective| uncalled for; lacking good reason; unwarranted.| unjustified
hallmark| noun| a mark stamped on articles of gold, silver, or platinum in Britain, certifying their standard of purity| authentication mark
consign| verb| deliver (something) to a person's custody, typically in order for it to be sold.| assign
