El programa (de television); TV show
Un programa de realidad/la vida real; A reality show
Un programa de concursos; A game, contest show
Un programa de crimen; A crime show
Un programa de cocina; A cooking show
Un programa de drama; A drama show
Un programa de comedia; A comedy, sitcom show
Un programa de dibujos animados; A cartoon, animated show
Un programa de entrevistas; A interview show
La serie/las series; series (sing./plural)
El capitulo/el episodio; episode
Hacer el papel de; to play the role of
La temporada; season (of a show or sport)
El documental; documentary
La banda sonora; soundtrack
El canal; TV channel
El entretenimiento; entertainment
El actor/la actriz; actor, actress
El chisme; gossip
La celebridad; celebrity
El personaje; character (in movie/show)
El adicto/la adicta; addict
El exito; success
El cine; movie theater, movies in general
La pantalla; screen
El portatil; laptop
La computadora (Latinoamerica) / El ordenador (Espana); computer
El wifi; WiFi
El mensaje de texto; text message
Enviar un mensaje de texto; To send a text message
La videollamada; video call, FaceTime
La app (la aplicacion); app
Las redes sociales; social media
La tendencia; trend
La foto; picture, photo
La imagen; picture, image
Influyente; influential
Chistoso/comico/gracioso; funny
Buenisimo; really good
Obsesionado; obsessed (*estar obsesionado*)
Productivo; productive
Educativo; educational
Entretenido; entertaining, enjoyable, fun
Genial; great
Guay; cool (Espana)
Chevere; cool (Latinoamerica)
Realista; realista
Poco realista; unrealistic
Tonto; dumb, silly
Estar de moda; to be in style
Subir (fotos, un documento); to upload
Descargar (un documento); to download
Publicar; to post
Acabar de + infinitivo; to have just + verb
Perder el tiempo, (e-i); to waste time
Maratonear (una serie); to binge watch (a series)
Tender a + infinitivo (e-ie); to tend to + verb
Trasnochar; to stay up late, to stay up all night
Ahora mismo; right now
Ultimamente/Recientemente; Lately, recently
Ya; already
Todavia no; Still haven't
He visto/Has visto?; I have seen/Have you seen?
A veces/De vez en cuando; sometimes
Nunca; never
Siempre; always
La verdad es que; The truth is that
