la aficion; hobby
el aficionado/la aficionada; fan/enthusiast
la aventura; adventure
la amistad; friendship
la cita; date
el descanso; break, relaxation, rest
un dia libre; day off, free day
el entretenimiento; entertainment
el espectaculo; show, performance
el juego de mesa; board game
el lugar; place
un placer; pleasure
el pasatiempo; pastime, hobby
el trabajo voluntario; volunteer work
las vacaciones; vacation
el vecino, la vecina; neighbor
el cafe/la cafeteria; cafe/coffee shop
el centro; downtown
el cine; movie theater/movies (in general)
la discoteca; dance club
el gimnasio; gym
el partido (de...); sports game/match
la piscina; pool
la tienda (de...); store
agradable; nice, enjoyable, pleasant
barato/a; cheap, inexpensive
costoso/a, caro/a; expensive
emocionante; exciting
inolvidable; unforgettable
relajante; relaxing
aburrirse; to get bored
aliviar el estres/bajar el estes; to lower one's stress
charlar/platicar; to chat
descansar; to rest
disfrutar; to enjoy
divertirse (e-ie); to have fun
estar interesado(a) en... ; to be interested in
experimentar; to experience
hacer ejercicio; to exercise
ir de compras; to go shopping
ir de vacaciones; to go on vacation
madrugar; to get up early
parecer; to seem
pasear/dar un paseo/dar una vuelta; to take a walk
pasar el rato; to hang out (*Also to pass the time)
relajarse; to relax
reunirse con/juntarse con; to get together with
salir a comer; to go out to eat
tener ganas de + infinitive; to feel like
