AVG: 270 | 271 | 581 | 1122
YOU: 270 | 260 | 590 | 1120
     --- | --- | --- | ----
AVG: 248 | 276 | 593 | 1117
YOU: 220 | 290 | 600 | 1110
     --- | --- | --- | ----
AVG: 258 | 295 | 604 | 1158
YOU: 250 | 290 | 650 | 1190
     --- | --- | --- | ----
AVG: 255 | 305 | 608 | 1169
YOU: 240 | 330 | 590 | 1160
     --- | --- | --- | ----
AVG: 270 | 291 | 624 | 1186
YOU: 250 | 300 | 620 | 1170
     --- | --- | --- | ----
AVG: 284 | 300 | 565 | 1150
YOU: 270 | 300 | 580 | 1150
     --- | --- | --- | ----
AVG: 280 | 310 | 642 | 1233
YOU: 250 | 300 | 660 | 1210
     --- | --- | --- | ----
AVG: 287 | 300 | 670 | 1257
YOU: 250 | 320 | 710 | 1280
     --- | --- | --- | ----
AVG: 284 | 289 | 611 | 1185
YOU: 260 | 330 | 660 | 1250
     --- | --- | --- | ----
AVG: 300 | 305 | 564 | 1170
YOU: 280 | 320 | 580 | 1180
     --- | --- | --- | ----
AVG: 280 | 303 | 649 | 1232
YOU: 270 | 300 | 700 | 1270
     --- | --- | --- | ----
AVG: 301 | 310 | 659 | 1271
YOU: 240 | 310 | 740 | 1290
     --- | --- | --- | ----
AVG: 278 | 302 | 627 | 1208
YOU: 270 | 300 | 620 | 1190
     --- | --- | --- | ----
AVG: 273 | 287 | 665 | 1225
YOU: 280 | 290 | 660 | 1230
